id	Geographic Area Name	EstimateMoved; within same countyPopulation 1 year and over	"EstimateMoved; from different county, same statePopulation 1 year and over"	EstimateMoved; from different  statePopulation 1 year and over	EstimateMoved; from abroadPopulation 1 year and over																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45580	"Thomaston, GA Micro Area"	12.9	2.9	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45620	"Thomasville, GA Micro Area"	9.4	3.9	3.7	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45660	"Tiffin, OH Micro Area"	7.4	5.1	1.5	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45700	"Tifton, GA Micro Area"	4.9	2.7	0.6	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45740	"Toccoa, GA Micro Area"	5.1	4.9	2.4	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45780	"Toledo, OH Metro Area"	11.3	3.5	2	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45820	"Topeka, KS Metro Area"	8.6	3.5	1.7	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45860	"Torrington, CT Micro Area"	5.3	2.7	1.3	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45900	"Traverse City, MI Micro Area"	6.3	4.6	1.9	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45940	"Trenton, NJ Metro Area"	6.7	3.7	2.3	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US45980	"Troy, AL Micro Area"	5.4	4.5	1.8	1.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46020	"Truckee-Grass Valley, CA Micro Area"	6.1	3.8	0.9	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46060	"Tucson, AZ Metro Area"	14.3	1.8	3.7	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46100	"Tullahoma-Manchester, TN Micro Area"	6.8	3.5	2.3	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46140	"Tulsa, OK Metro Area"	10.1	3.9	2.3	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46180	"Tupelo, MS Micro Area"	7.9	4.6	1.6	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46220	"Tuscaloosa, AL Metro Area"	8.3	3.7	3.8	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46300	"Twin Falls, ID Metro Area"	8.2	4.2	3.3	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46340	"Tyler, TX Metro Area"	7.8	4.4	1.6	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46380	"Ukiah, CA Micro Area"	8.4	2.9	2	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46460	"Union City, TN-KY Micro Area"	8	3.7	2.5	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46500	"Urbana, OH Micro Area"	9.5	5.9	1	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46520	"Urban Honolulu, HI Metro Area"	8.7	0.3	4.1	1.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46540	"Utica-Rome, NY Metro Area"	6.6	2.9	1.1	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46620	"Uvalde, TX Micro Area"	6	2.6	2.6	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46660	"Valdosta, GA Metro Area"	8.4	4	3.9	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46700	"Vallejo-Fairfield, CA Metro Area"	7.9	5.2	1.5	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46740	"Valley, AL Micro Area"	5.4	2.6	2.7	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46780	"Van Wert, OH Micro Area"	5.5	3.8	1.6	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46820	"Vermillion, SD Micro Area"	17.5	9.8	7.2	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46860	"Vernal, UT Micro Area"	7.3	3.1	2.6	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46900	"Vernon, TX Micro Area"	19.4	4.1	1.9	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US46980	"Vicksburg, MS Micro Area"	5.6	1.5	1.3	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47020	"Victoria, TX Metro Area"	11	3.6	1.1	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47080	"Vidalia, GA Micro Area"	7.9	5.8	2.1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47180	"Vincennes, IN Micro Area"	9.2	7	1.8	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47220	"Vineland-Bridgeton, NJ Metro Area"	7.1	3.3	1	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47240	"Vineyard Haven, MA Micro Area"	3	0.3	1.6	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47260	"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"	7.6	5.4	4.4	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47300	"Visalia-Porterville, CA Metro Area"	9	2	0.5	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47340	"Wabash, IN Micro Area"	8.7	4.2	2	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47380	"Waco, TX Metro Area"	11.8	5	2	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47420	"Wahpeton, ND-MN Micro Area"	4.5	3.5	4.2	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47460	"Walla Walla, WA Metro Area"	10.6	5.8	4.4	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47540	"Wapakoneta, OH Micro Area"	5.8	4.5	1	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47580	"Warner Robins, GA Metro Area"	7.8	4.4	3	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47620	"Warren, PA Micro Area"	5.4	1.6	1.5	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47660	"Warrensburg, MO Micro Area"	12.6	8	5	1.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47700	"Warsaw, IN Micro Area"	9	4.7	2.5	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47780	"Washington, IN Micro Area"	7.6	3	0.7	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47820	"Washington, NC Micro Area"	3.3	1.4	0.9	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"	7.1	2.8	3.9	1.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47920	"Washington Court House, OH Micro Area"	9.1	2.7	1.1	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47940	"Waterloo-Cedar Falls, IA Metro Area"	10.9	4.9	2.1	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US47980	"Watertown, SD Micro Area"	9	4.4	1.8	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48020	"Watertown-Fort Atkinson, WI Micro Area"	6.4	5.9	1.3	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48060	"Watertown-Fort Drum, NY Metro Area"	9.1	2.8	6.9	2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48100	"Wauchula, FL Micro Area"	3.4	2.9	0.5	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48140	"Wausau, WI Metro Area"	6.4	3.2	1.3	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48180	"Waycross, GA Micro Area"	5.8	4.1	1.3	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48220	"Weatherford, OK Micro Area"	11.8	6.8	4.2	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48260	"Weirton-Steubenville, WV-OH Metro Area"	5.4	2.3	3.9	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48300	"Wenatchee, WA Metro Area"	5.7	4.9	1.4	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48460	"West Plains, MO Micro Area"	8.5	2.8	1	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48500	"West Point, MS Micro Area"	5.8	2.6	1.5	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48540	"Wheeling, WV-OH Metro Area"	4.3	2.7	2.1	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48580	"Whitewater-Elkhorn, WI Micro Area"	8.6	4.3	3	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48620	"Wichita, KS Metro Area"	10.8	2.4	2.2	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48660	"Wichita Falls, TX Metro Area"	9.3	4.9	4.3	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48700	"Williamsport, PA Metro Area"	8.9	3	1.4	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48780	"Williston, ND Micro Area"	8.5	2.7	8.4	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48820	"Willmar, MN Micro Area"	7.8	2.7	1.6	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48900	"Wilmington, NC Metro Area"	8.4	5.4	2.7	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US48940	"Wilmington, OH Micro Area"	7.4	5	1.1	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
